Species,Date,Percentage cover
Chromolaena  odorata,1/2/2023,0.031372549
Axystasia gangetica,1/2/2023,2.5
Ixora coccinea,1/2/2023,0
Sida acuta,1/2/2023,0.052941176
Alternathera brasilliana,1/2/2023,1.654901961
Panicum maximum,1/2/2023,4.774509804
Emilia praetermissa,1/2/2023,0.139215686
Tridax procumbens,1/2/2023,0.003921569
Commelina erecta,1/2/2023,0.266666667
Centrosema pubescens,1/2/2023,1.282352941
Leucaena leucophala,1/2/2023,0.039215686
Eleutheranthera ruderalis,1/2/2023,0
Chromolaena  odorata,20/2/2023,0.019607843
Axystasia gangetica,20/2/2023,0.225490196
Ixora coccinea,20/2/2023,0.031372549
Sida acuta,20/2/2023,0.006127451
Alternathera brasilliana,20/2/2023,0.009803922
Panicum maximum,20/2/2023,0.382352941
Emilia praetermissa,20/2/2023,0.015686275
Tridax procumbens,20/2/2023,0
Commelina erecta,20/2/2023,0.135294118
Centrosema pubescens,20/2/2023,0.011764706
Leucaena leucophala,20/2/2023,0.001960784
Eleutheranthera ruderalis,20/2/2023,0
Chromolaena  odorata,17/3/2023,0
Axystasia gangetica,17/3/2023,0.01372549
Ixora coccinea,17/3/2023,0
Sida acuta,17/3/2023,0
Alternathera brasilliana,17/3/2023,0
Panicum maximum,17/3/2023,1.109803922
Emilia praetermissa,17/3/2023,0
Tridax procumbens,17/3/2023,0.005882353
Commelina erecta,17/3/2023,0.701960784
Centrosema pubescens,17/3/2023,0.135294118
Leucaena leucophala,17/3/2023,0.133333333
Eleutheranthera ruderalis,17/3/2023,8.092156863
Chromolaena  odorata,3/4/2023,0
Axystasia gangetica,3/4/2023,0.417647059
Ixora coccinea,3/4/2023,0.009803922
Sida acuta,3/4/2023,0
Alternathera brasilliana,3/4/2023,0.052941176
Panicum maximum,3/4/2023,6.562745098
Emilia praetermissa,3/4/2023,0.458823529
Tridax procumbens,3/4/2023,0.058823529
Commelina erecta,3/4/2023,7.321568627
Centrosema pubescens,3/4/2023,0.394117647
Leucaena leucophala,3/4/2023,0.037254902
Eleutheranthera ruderalis,3/4/2023,30.0372549
Chromolaena  odorata,18/4/2023,0
Axystasia gangetica,18/4/2023,0.078431373
Ixora coccinea,18/4/2023,0
Sida acuta,18/4/2023,0
Alternathera brasilliana,18/4/2023,0.058823529
Panicum maximum,18/4/2023,10.07843137
Emilia praetermissa,18/4/2023,0
Tridax procumbens,18/4/2023,4
Commelina erecta,18/4/2023,15.60784314
Centrosema pubescens,18/4/2023,0.980392157
Leucaena leucophala,18/4/2023,0.509803922
Eleutheranthera ruderalis,18/4/2023,41.37254902
