,Stations,Months,Fe,Zn,Cu,Mn,Ni,Pb,Cd,org.c,AMO,METRO,SMX,TRM,CIPRO,OFLOX
Aug-1,ST1,Aug,485.96,162.57,57.94,27.45,11.93,1.45,0.49,0.08,1.83,1.03,0.23,0,0.66,0.85
Sep-1,ST1,Sep,473.56,165.93,54.56,27.45,12.38,1.41,0.53,0.12,1.27,1.77,0.58,0,0.55,0.64
Oct-1,ST1,Oct,428.78,104.66,53.74,23.68,11.55,1.28,0.64,0.1,1.47,0.57,0.49,0,0.79,0.84
Nov-1,ST1,Nov,498.56,145.24,67.89,29.56,13.76,1.45,0.57,0.09,1.48,0.68,0.17,0,0.56,0.78
Dec-1,ST1,Dec,473.19,151.48,53.74,27.45,10.24,1.13,0.64,0.08,0,4.86,1.67,0,0.28,0.55
Jan-1,ST1,Jan,418.45,113.46,58.66,23.68,11.55,1.28,0.64,0.12,2.88,1.79,1.13,0,0.77,0.79
Feb-1,ST1,Feb,418.45,113.46,58.66,23.68,12.03,1.32,0.64,0.13,2.97,2.18,1.76,0,0.85,0.55
Mar-1,ST1,Mar,420.78,113.46,58.66,23.68,12.03,1.32,0.64,0.15,2.28,1.49,1.38,0,0.65,0.46
Apr-1,ST1,Apr,418.45,109.56,58.66,21.54,11.76,1.35,0.64,0.02,2.38,1.6,1.05,0,0.6,0.48
May-1,ST1,May,413.97,112.28,56.87,21.49,11.58,1.32,0.64,0.14,2.46,1.58,1.14,0,0.58,0.49
Jun-1,ST1,Jun,428.69,113.46,58.66,23.68,11.48,1.32,0.64,0.14,2.39,1.79,1.21,0.7085,0.5,0.33
Jul-1,ST1,Jul,418.45,109.56,57.48,21.54,11.76,1.48,0.64,0.21,2.42,1.87,0.78,0,0.58,0.49
Aug-2,ST2,Aug,471.97,138.93,65.88,27.55,13.57,1.37,0.41,0.2,2.28,0.96,0.74,0,0.68,0.82
Sep-2,ST2,Sep,468.93,144.74,68.74,26.45,14.62,1.16,0.45,0.08,2.77,0.8,0.9,0,0.88,1.19
Oct-2,ST2,Oct,438.76,117.62,62.67,22.69,12.35,1.34,0.45,0.11,1.28,0.73,0.5,0,0.58,0.62
Nov-2,ST2,Nov,462.89,136.57,56.86,25.65,14.45,1.75,0.63,0.12,1.98,0.8,0.65,0,0.68,0.46
Dec-2,ST2,Dec,465.93,142.34,62.63,27.55,12.76,1.45,0.52,0.02,3.66,0,2.7,0,0.45,0.28
Jan-2,ST2,Jan,438.76,121.67,53.96,22.69,12.35,1.34,0.45,0.22,2.55,1.13,1.88,0,0.58,0.45
Feb-2,ST2,Feb,438.76,121.67,53.96,22.69,13.27,1.41,0.45,0.22,2.78,1.39,1.79,0,0.44,0.39
Mar-2,ST2,Mar,441.49,122.07,53.78,22.83,13.56,1.39,0.47,0.23,2.39,1.33,1.6,0,0.49,0.44
Apr-2,ST2,Apr,423.28,112.59,53.78,21.45,12.58,1.46,0.41,0.03,2.36,1.23,1.19,0,0.55,0.44
May-2,ST2,May,421.58,120.48,51.67,22.83,12.26,1.57,0.47,0.16,2.68,1.35,1.3,0.87,0.68,0.47
Jun-2,ST2,Jun,425.48,122.18,54.25,23.15,13.48,1.41,0.42,0.2,2.19,1.28,1.37,0.8506,0.51,0.35
Jul-2,ST2,Jul,423.28,112.59,53.78,21.45,13.74,1.67,0.41,0.28,2.27,1.34,0.65,0.528,0.65,0.51
Aug-3,ST3,Aug,689.27,286.73,74.21,47.25,25.23,1.84,0.87,0.359,4.75,0.83,0.23,0,1.13,0.85
Sep-3,ST3,Sep,659.62,268.28,76.83,46.77,27.25,1.63,0.81,1.05,4.98,0.67,0.49,0,2.22,1.52
Oct-3,ST3,Oct,573.82,152.73,72.18,36.25,19.88,1.98,0.73,0.25,1.13,0.87,0.68,0,0.77,0.68
Nov-3,ST3,Nov,654.18,289.45,74.67,39.98,21.86,2.45,0.94,0.21,2.88,0.55,0.5,0,0.37,0.27
Dec-3,ST3,Dec,672.88,294.27,72.18,42.67,23.48,1.94,0.87,0.26,0,0.75,0.11,0,0.22,0.24
Jan-3,ST3,Jan,563.84,138.42,69.34,36.25,20.83,2.95,0.73,0.19,1.76,0.64,0.22,0,0.68,0.47
Feb-3,ST3,Feb,565.32,138.1,70.05,36.38,20.83,2.95,0.81,0.16,1.88,0.76,0.25,0,0.76,0.51
Mar-3,ST3,Mar,565.32,137.41,70.05,35.86,20.83,2.73,0.75,0.16,1.86,0.88,0.39,2.17,0.77,0.59
Apr-3,ST3,Apr,547.48,134.78,68.04,34.78,19.69,2.95,0.73,0.16,1.95,0.95,0.63,0.087,0.39,0.29
May-3,ST3,May,534.67,138.42,69.78,35.86,19.78,2.98,0.75,0.21,1.53,0.98,0.78,1.45,0.48,0.39
Jun-3,ST3,Jun,544.78,137.45,71.29,36.96,21.43,2.73,0.83,0.2,1.43,0.57,0.37,0.7564,0.39,0.28
Jul-3,ST3,Jul,253.78,86.94,34.95,13.72,8.92,0.57,0.36,0.31,1.37,0.74,0.29,0.667,0.39,0.58
Aug-4,ST4,Aug,689.33,286.48,75.17,46.77,25.18,1.96,0.92,0.638,4.75,0.83,0.23,0.161,1.13,0.85
Sep-4,ST4,Sep,659.45,268.35,76.88,47.25,27.18,1.72,0.77,1.82,4.98,0.67,0.49,0,2.22,1.52
Oct-4,ST4,Oct,295.77,98.45,38.73,15.29,8.56,0.32,0.34,1.01,3.65,1.29,0.85,0,0.77,1.4
Nov-4,ST4,Nov,376.23,117.79,43.18,19.11,9.72,0.95,0.31,0.84,4.56,1.08,0.11,0,0.37,0.62
Dec-4,ST4,Dec,324.64,115.47,38.73,17.81,9.15,0.72,0.34,0.44,3.13,2.72,0.39,0,0.22,0.21
Jan-4,ST4,Jan,274.22,87.56,34.95,15.29,8.56,0.32,0.41,0.35,3.28,2.67,0.85,0,0.68,0.99
Feb-4,ST4,Feb,274.17,87.63,34.78,15.29,8.78,0.43,0.38,0.32,3.36,2.85,0.79,0,0.76,0.79
Mar-4,ST4,Mar,275.21,86.94,34.95,15.83,9.11,0.4,0.33,0.28,3.32,2.57,1.46,2.94,0.77,0.88
Apr-4,ST4,Apr,265.89,82.78,32.78,13.84,8.78,0.43,0.38,0.2,3.18,2.49,1.39,0.161,0.39,0.73
May-4,ST4,May,267.85,86.27,33.54,15.72,7.28,0.43,0.33,0.27,3.18,2.18,1.6,2.212,0.48,0.75
Jun-4,ST4,Jun,253.49,86.27,36.48,16.28,9.67,0.43,0.41,3.21,3.36,1.73,1.18,1.596,0.39,0.58
Jul-4,ST4,Jul,547.48,134.78,67.95,36.87,19.69,2.91,0.77,1,3.46,1.86,0.85,0.98,0.39,0.94
