Obs,Stress,SO2,O3,Forrest,William
1,Well-watered,0.0045,0.017,4376,5561
2,Well-watered,0.0045,0.049,4544,5947
3,Well-watered,0.0045,0.067,2806,4273
4,Well-watered,0.0045,0.084,3339,3470
5,Well-watered,0.0045,0.099,3320,3080
6,Well-watered,0.017,0.017,3747,5092
7,Well-watered,0.017,0.049,4570,4752
8,Well-watered,0.017,0.067,4635,4232
9,Well-watered,0.017,0.084,3613,2867
10,Well-watered,0.017,0.099,3259,3106
11,Well-watered,0.059,0.017,4179,4736
12,Well-watered,0.059,0.049,5077,3672
13,Well-watered,0.059,0.067,3401,3386
14,Well-watered,0.059,0.084,3371,2854
15,Well-watered,0.059,0.099,2158,2557
16,Stressed,0.0045,0.017,4977,4520
17,Stressed,0.0045,0.049,3780,3047
18,Stressed,0.0045,0.067,3804,3526
19,Stressed,0.0045,0.084,3941,3357
20,Stressed,0.0045,0.099,2863,2663
21,Stressed,0.017,0.017,5573,4869
22,Stressed,0.017,0.049,3555,3774
23,Stressed,0.017,0.067,3340,2955
24,Stressed,0.017,0.084,3243,3513
25,Stressed,0.017,0.099,2802,2838
26,Stressed,0.059,0.017,4589,4056
27,Stressed,0.059,0.049,3250,2758
28,Stressed,0.059,0.067,3045,3094
29,Stressed,0.059,0.084,2827,2398
30,Stressed,0.059,0.099,2979,2101
